hour_of_day,is_new_ip,is_new_device,recent_failures_15min,history_size,synthetic_label,anomaly_type,predicted_anomaly,decision_score
2,1,1,0,0,1,unusual_hour,1,-0.05869594945208956
7,1,1,0,0,1,unusual_client,1,-0.0158347872624246
8,1,1,0,0,0,normal,1,-0.004148082688804289
8,1,1,0,0,0,normal,1,-0.004148082688804289
8,1,1,0,0,0,normal,1,-0.004148082688804289
8,1,1,0,0,0,normal,1,-0.004148082688804289
9,1,1,0,0,1,new_ip,0,0.012586780442438661
9,1,1,0,0,0,normal,0,0.012586780442438661
9,1,1,0,0,0,normal,0,0.012586780442438661
9,1,1,0,0,0,normal,0,0.012586780442438661
9,1,1,0,0,0,normal,0,0.012586780442438661
9,1,1,0,0,0,normal,0,0.012586780442438661
9,1,1,0,0,0,normal,0,0.012586780442438661
9,1,1,0,0,0,normal,0,0.012586780442438661
9,1,1,0,0,0,normal,0,0.012586780442438661
9,1,1,0,0,0,normal,0,0.012586780442438661
10,1,1,0,0,0,normal,0,0.019346525486350297
10,1,1,0,0,0,normal,0,0.019346525486350297
10,0,0,0,1,0,normal,0,0.16925347281411446
10,1,1,0,0,0,normal,0,0.019346525486350297
11,1,1,0,0,0,normal,0,0.019534041086094356
12,1,1,0,0,0,normal,0,0.020298588816240137
12,1,1,0,0,0,normal,0,0.020298588816240137
12,1,1,0,0,0,normal,0,0.020298588816240137
12,1,1,0,0,0,normal,0,0.020298588816240137
12,1,1,0,0,0,normal,0,0.020298588816240137
12,1,1,0,0,0,normal,0,0.020298588816240137
12,1,1,0,0,0,normal,0,0.020298588816240137
13,1,1,0,0,0,normal,0,0.015614896191739724
13,1,1,0,0,0,normal,0,0.015614896191739724
14,1,1,0,0,0,normal,0,0.01529337306769285
14,1,1,0,0,0,normal,0,0.01529337306769285
14,0,0,0,1,0,normal,0,0.18768305165091131
14,1,1,0,0,0,normal,0,0.01529337306769285
14,1,1,0,0,0,normal,0,0.01529337306769285
14,0,0,0,1,0,normal,0,0.18768305165091131
14,1,1,0,0,0,normal,0,0.01529337306769285
14,1,1,0,0,0,normal,0,0.01529337306769285
14,1,1,0,0,0,normal,0,0.01529337306769285
15,1,1,0,0,0,normal,0,0.009653379572706067
15,1,1,0,0,0,normal,0,0.009653379572706067
15,1,1,0,0,0,normal,0,0.009653379572706067
15,1,1,0,0,0,normal,0,0.009653379572706067
15,1,1,0,0,0,normal,0,0.009653379572706067
15,1,1,0,0,0,normal,0,0.009653379572706067
16,1,1,0,0,0,normal,0,0.0
16,1,1,0,0,0,normal,0,0.0
16,1,1,0,0,0,normal,0,0.0
16,0,0,0,1,0,normal,0,0.17235508142547862
16,1,1,0,0,0,normal,0,0.0
16,1,1,0,0,0,normal,0,0.0
16,1,1,0,0,0,normal,0,0.0
16,1,1,0,0,0,normal,0,0.0
17,1,1,0,0,0,normal,1,-0.02105714587211105
18,0,0,0,1,0,normal,0,0.11883478916059487
18,0,0,0,1,0,normal,0,0.11883478916059487
8,1,1,0,0,0,normal,1,-0.004148082688804289
8,1,1,0,0,0,normal,1,-0.004148082688804289
8,1,1,0,0,0,normal,1,-0.004148082688804289
9,1,1,0,0,0,normal,0,0.012586780442438661
9,1,1,0,0,0,normal,0,0.012586780442438661
9,1,1,0,0,0,normal,0,0.012586780442438661
