hour_of_day,is_new_ip,is_new_device,recent_failures_15min,history_size,synthetic_label,anomaly_type
2,1,1,0,0,1,unusual_hour
7,1,1,0,0,1,unusual_client
8,1,1,0,0,0,normal
8,1,1,0,0,0,normal
8,1,1,0,0,0,normal
8,1,1,0,0,0,normal
9,1,1,0,0,1,new_ip
9,1,1,0,0,0,normal
9,1,1,0,0,0,normal
9,1,1,0,0,0,normal
9,1,1,0,0,0,normal
9,1,1,0,0,0,normal
9,1,1,0,0,0,normal
9,1,1,0,0,0,normal
9,1,1,0,0,0,normal
9,1,1,0,0,0,normal
10,1,1,0,0,0,normal
10,1,1,0,0,0,normal
10,0,0,0,1,0,normal
10,1,1,0,0,0,normal
11,1,1,0,0,0,normal
12,1,1,0,0,0,normal
12,1,1,0,0,0,normal
12,1,1,0,0,0,normal
12,1,1,0,0,0,normal
12,1,1,0,0,0,normal
12,1,1,0,0,0,normal
12,1,1,0,0,0,normal
13,1,1,0,0,0,normal
13,1,1,0,0,0,normal
14,1,1,0,0,0,normal
14,1,1,0,0,0,normal
14,0,0,0,1,0,normal
14,1,1,0,0,0,normal
14,1,1,0,0,0,normal
14,0,0,0,1,0,normal
14,1,1,0,0,0,normal
14,1,1,0,0,0,normal
14,1,1,0,0,0,normal
15,1,1,0,0,0,normal
15,1,1,0,0,0,normal
15,1,1,0,0,0,normal
15,1,1,0,0,0,normal
15,1,1,0,0,0,normal
15,1,1,0,0,0,normal
16,1,1,0,0,0,normal
16,1,1,0,0,0,normal
16,1,1,0,0,0,normal
16,0,0,0,1,0,normal
16,1,1,0,0,0,normal
16,1,1,0,0,0,normal
16,1,1,0,0,0,normal
16,1,1,0,0,0,normal
17,1,1,0,0,0,normal
18,0,0,0,1,0,normal
18,0,0,0,1,0,normal
8,1,1,0,0,0,normal
8,1,1,0,0,0,normal
8,1,1,0,0,0,normal
9,1,1,0,0,0,normal
9,1,1,0,0,0,normal
9,1,1,0,0,0,normal
9,1,1,0,0,0,normal
9,1,1,0,0,0,normal
9,1,1,0,0,0,normal
9,1,1,0,0,0,normal
9,0,0,0,1,0,normal
10,1,1,0,0,0,normal
10,1,1,0,0,0,normal
10,1,1,0,0,0,normal
10,1,1,0,0,1,unusual_client
10,0,0,0,1,0,normal
10,1,1,0,0,0,normal
10,0,0,0,1,0,normal
10,0,0,0,1,0,normal
11,1,1,0,0,0,normal
11,0,0,0,1,0,normal
11,1,1,0,0,0,normal
11,1,1,0,0,0,normal
11,1,1,0,0,1,unusual_client
12,1,1,0,0,0,normal
12,1,1,0,0,0,normal
13,0,0,0,2,0,normal
13,1,1,0,0,0,normal
13,1,1,0,0,0,normal
13,1,1,0,0,0,normal
14,1,1,0,0,0,normal
14,1,1,0,0,0,normal
14,0,0,0,1,0,normal
14,1,1,0,0,0,normal
14,0,0,0,1,0,normal
14,1,1,0,0,0,normal
14,1,1,0,0,0,normal
14,0,0,0,1,0,normal
15,1,1,0,0,0,normal
15,1,1,0,0,0,normal
15,1,1,0,0,0,normal
15,1,1,0,0,0,normal
15,0,0,0,1,0,normal
15,1,1,0,0,0,normal
16,1,1,0,0,0,normal
16,1,1,0,0,0,normal
16,1,1,0,0,0,normal
16,0,0,0,1,0,normal
16,1,1,0,0,0,normal
16,0,0,0,1,0,normal
16,1,1,0,0,0,normal
16,1,1,0,0,0,normal
16,1,1,0,0,0,normal
17,1,1,0,0,0,normal
17,0,0,0,1,0,normal
17,1,1,0,0,0,normal
17,0,1,0,1,0,normal
18,1,1,0,0,0,normal
18,1,1,0,0,0,normal
18,1,1,0,0,0,normal
18,0,0,0,1,0,normal
18,1,1,0,0,0,normal
19,0,0,0,1,0,normal
19,1,1,0,0,0,normal
2,1,1,0,0,1,multiple_changes
5,0,0,0,1,1,unusual_hour
4,1,1,0,1,1,multiple_changes
7,1,1,0,0,0,normal
8,1,1,0,0,0,normal
8,1,1,0,0,0,normal
8,1,1,0,0,0,normal
8,0,0,0,1,0,normal
8,0,0,0,2,0,normal
9,1,1,0,0,0,normal
9,1,1,0,0,0,normal
9,1,1,0,0,0,normal
9,1,1,0,0,0,normal
9,0,0,0,1,0,normal
10,0,0,0,1,0,normal
10,0,0,0,2,0,normal
10,0,0,0,1,0,normal
11,1,1,0,0,0,normal
11,1,1,0,0,0,normal
11,0,0,0,1,0,normal
12,1,1,0,0,0,normal
12,1,1,0,0,0,normal
12,1,1,0,0,0,normal
13,0,0,0,2,0,normal
13,1,1,0,0,0,normal
13,1,1,0,0,0,normal
13,1,1,0,0,0,normal
13,1,1,0,0,0,normal
14,0,0,0,2,0,normal
14,0,0,0,1,0,normal
14,1,1,0,0,0,normal
14,1,1,0,0,0,normal
14,1,1,0,0,0,normal
15,0,0,0,1,0,normal
15,1,1,0,0,1,new_ip
15,1,1,0,0,0,normal
15,1,1,0,0,0,normal
15,0,0,0,2,0,normal
15,1,1,0,0,0,normal
16,1,1,0,0,0,normal
16,0,0,0,2,0,normal
16,1,1,0,0,1,new_ip
17,1,1,0,0,0,normal
17,1,1,0,0,0,normal
17,1,1,0,0,0,normal
17,1,1,0,0,0,normal
17,1,1,0,0,0,normal
17,1,1,0,0,0,normal
17,1,1,0,0,0,normal
17,1,1,0,0,0,normal
18,0,0,0,1,0,normal
18,0,0,0,2,0,normal
19,1,1,0,0,0,normal
19,1,1,0,0,0,normal
19,0,0,0,2,0,normal
1,1,1,0,0,1,unusual_hour
3,1,1,0,0,1,unusual_hour
7,0,0,0,1,0,normal
7,0,0,0,2,0,normal
7,1,1,0,0,0,normal
7,0,0,0,1,0,normal
8,0,0,0,1,0,normal
8,1,1,0,0,0,normal
8,1,1,0,0,0,normal
9,0,0,0,2,0,normal
9,0,0,0,2,0,normal
9,1,1,0,0,0,normal
9,1,1,0,0,0,normal
9,0,0,0,1,0,normal
9,0,0,0,1,0,normal
9,1,1,0,0,0,normal
10,0,0,0,1,0,normal
10,1,1,0,0,0,normal
10,1,1,0,0,0,normal
11,1,1,0,0,0,normal
11,1,1,0,0,0,normal
11,1,1,0,1,0,normal
11,0,0,0,1,0,normal
11,1,1,0,0,0,normal
11,0,0,0,1,0,normal
11,0,0,0,2,0,normal
12,0,0,0,1,0,normal
12,0,0,0,3,0,normal
12,1,1,0,0,0,normal
13,1,1,0,0,0,normal
13,1,1,0,0,0,normal
13,1,1,0,0,0,normal
13,0,0,0,1,0,normal
13,1,1,0,0,0,normal
13,0,0,0,1,0,normal
14,1,1,0,0,0,normal
14,0,0,0,1,0,normal
14,1,1,0,0,0,normal
14,1,1,0,0,0,normal
14,0,0,0,1,0,normal
14,0,0,0,2,0,normal
15,1,1,0,0,0,normal
15,1,1,0,0,0,normal
15,0,0,0,2,0,normal
15,0,0,0,1,0,normal
15,1,1,0,0,0,normal
16,1,1,0,0,0,normal
16,1,1,0,0,0,normal
16,1,1,0,0,0,normal
16,1,1,0,0,0,normal
17,1,1,0,0,0,normal
17,0,0,0,1,0,normal
17,0,0,0,1,0,normal
17,0,0,0,1,0,normal
17,0,0,0,1,0,normal
17,0,0,0,1,0,normal
17,0,0,0,1,0,normal
18,0,0,0,2,0,normal
18,0,0,0,2,0,normal
18,0,0,0,1,0,normal
18,0,0,0,1,0,normal
18,0,0,0,2,0,normal
18,0,0,0,1,0,normal
18,1,0,0,3,1,new_ip
19,0,0,0,2,0,normal
19,1,1,0,0,0,normal
19,0,0,0,3,0,normal
7,1,1,0,0,0,normal
7,1,1,0,0,0,normal
8,1,1,0,0,0,normal
8,1,1,0,0,0,normal
8,0,0,0,2,0,normal
8,0,0,0,2,0,normal
9,0,0,0,1,0,normal
9,1,1,0,0,0,normal
9,1,1,0,0,0,normal
10,0,1,0,1,0,normal
10,1,1,0,0,0,normal
10,0,0,0,3,0,normal
10,1,1,0,0,0,normal
10,1,1,0,0,0,normal
10,1,1,0,0,0,normal
10,1,1,0,0,0,normal
11,0,0,0,2,0,normal
12,0,0,0,1,0,normal
12,1,1,0,0,0,normal
12,0,0,0,1,0,normal
12,0,0,0,2,0,normal
12,1,1,0,0,0,normal
13,1,1,0,0,0,normal
13,1,1,0,0,0,normal
14,0,0,0,1,0,normal
14,0,0,0,1,0,normal
14,0,0,0,1,0,normal
14,1,1,0,0,0,normal
15,0,0,0,1,0,normal
15,1,1,0,0,0,normal
15,0,0,0,1,0,normal
15,0,0,0,1,0,normal
15,0,0,0,2,0,normal
16,1,1,0,0,0,normal
16,0,0,0,1,0,normal
16,0,0,0,3,0,normal
16,0,0,0,1,0,normal
16,0,0,0,1,0,normal
17,0,0,0,1,0,normal
17,0,0,0,1,0,normal
17,0,0,0,1,0,normal
17,1,0,0,1,0,normal
17,0,0,0,1,0,normal
17,0,0,0,1,0,normal
17,0,0,0,1,0,normal
18,1,1,0,0,0,normal
18,1,1,0,0,0,normal
18,0,0,0,1,0,normal
18,0,0,0,1,0,normal
19,0,0,0,2,0,normal
19,1,1,0,0,1,new_ip
19,0,0,0,1,0,normal
0,1,1,0,0,1,unusual_hour
2,1,1,0,3,1,multiple_changes
3,1,1,0,1,1,multiple_changes
7,0,0,0,1,0,normal
7,1,0,0,1,0,normal
7,0,0,0,2,0,normal
8,1,1,0,0,1,new_ip
8,0,0,0,2,0,normal
8,1,1,0,0,0,normal
8,0,0,0,1,0,normal
8,0,0,0,2,0,normal
8,0,0,0,1,0,normal
9,0,0,0,1,0,normal
9,0,0,0,3,0,normal
9,0,0,0,2,0,normal
9,1,1,0,0,0,normal
9,1,1,0,0,0,normal
9,0,0,0,1,0,normal
10,1,1,0,0,0,normal
10,1,1,0,0,0,normal
10,0,0,0,3,0,normal
10,0,0,0,1,0,normal
10,0,0,0,2,0,normal
11,1,1,0,0,0,normal
11,1,1,0,0,0,normal
11,0,0,0,1,0,normal
11,1,1,0,0,0,normal
12,0,0,0,1,0,normal
12,1,1,0,0,0,normal
12,1,1,0,0,0,normal
12,1,1,0,0,0,normal
12,0,0,0,2,0,normal
13,1,1,0,0,0,normal
13,1,1,0,0,0,normal
13,1,1,0,0,0,normal
14,0,0,0,1,0,normal
14,1,1,0,0,0,normal
14,0,0,0,1,0,normal
14,0,0,0,1,0,normal
15,0,0,0,4,0,normal
15,1,1,0,0,0,normal
15,1,1,0,0,0,normal
15,0,0,0,1,0,normal
15,1,1,0,0,0,normal
15,0,0,0,1,0,normal
16,0,0,0,2,0,normal
16,1,1,0,0,0,normal
16,0,0,0,4,0,normal
16,0,0,0,1,0,normal
16,0,0,0,1,0,normal
16,0,0,0,1,0,normal
16,1,1,0,0,0,normal
16,1,1,0,0,0,normal
17,1,1,0,0,0,normal
17,1,1,0,0,0,normal
17,0,0,0,1,0,normal
17,0,0,0,2,0,normal
17,1,1,0,0,0,normal
18,0,0,0,1,0,normal
18,0,0,0,1,0,normal
18,0,0,0,2,0,normal
19,0,0,0,2,0,normal
7,0,0,0,1,0,normal
8,0,0,0,2,0,normal
9,1,1,0,0,0,normal
9,0,0,0,1,0,normal
9,0,0,0,2,0,normal
9,0,0,0,1,0,normal
10,0,0,0,1,0,normal
10,0,0,0,1,0,normal
10,0,0,0,3,0,normal
10,1,1,0,0,0,normal
10,1,1,0,0,0,normal
10,1,1,0,0,0,normal
10,1,1,0,0,0,normal
11,0,0,0,1,0,normal
11,0,0,0,2,0,normal
11,1,1,0,0,0,normal
12,1,1,0,0,0,normal
12,0,0,0,4,0,normal
13,0,0,0,5,0,normal
13,0,0,0,1,0,normal
13,0,0,0,1,0,normal
13,0,0,0,2,0,normal
14,0,0,0,3,0,normal
14,0,0,0,2,0,normal
15,0,0,0,1,0,normal
15,1,1,0,0,0,normal
15,1,1,0,0,0,normal
15,0,0,0,2,0,normal
15,0,0,0,1,0,normal
16,1,1,0,0,0,normal
16,0,0,0,1,0,normal
16,1,1,0,0,0,normal
16,1,1,0,0,0,normal
16,1,1,0,0,0,normal
16,1,1,0,0,0,normal
16,0,0,0,1,0,normal
16,0,0,0,1,0,normal
16,0,0,0,2,0,normal
17,0,0,0,1,0,normal
17,0,0,0,3,0,normal
17,0,0,0,1,0,normal
17,0,0,0,3,0,normal
18,0,0,0,1,0,normal
18,0,0,0,1,0,normal
19,1,1,0,0,0,normal
